	AUG-002	AUG-003	AUG-004	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-008	DES-009	DES-010	DES-011	DES-012	DES-013	WLT-011	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-022	WLT-023	WLT-027	WLT-031	WLT-032	WLT-033	WLT-034	WLT-035	WLT-036
WLT-018	0.13586599445015388	0.21153515369659948	0.17113946372467098	0.24319739994960282	0.20418976267422995	0.1572492605817083	0.19748571225246003	0.2303240036784743	0.2128837525563828	0.16487838541767252	0.3373122513301462	0.31516333426885207	0.06849487344917919	0.24994190671684027	0.2792695060392485	0.1585437463001971	0.12076780896688306	0.29660063063282455	0.29861446414708054	0.15683115699949693	0.0	0.19946082925281589	0.250904843969583	0.2990851369172738	0.2689318656192815	0.2668672955438025	0.2821677573567869	0.26043609877300267	0.2719417729972874	0.20821746715661033	0.27542091916880035
WLT-020	0.15985109697291533	0.2465704417016782	0.20066455819418097	0.2717009030337587	0.09667108970581378	0.2818312713279855	0.1132483854613268	0.20675049983113805	0.10590952817370118	0.205312845501649	0.19708687816040854	0.18740202992474012	0.19818088682093218	0.1391941871450285	0.14728878362556047	0.2263247399774632	0.1456355902065306	0.15036919108921548	0.16573937761595348	0.201338634527501	0.19946082925281589	0.0	0.11264952313695004	0.16331348237036653	0.18485979650105763	0.22495894776618125	0.17007539676510972	0.16710354149701528	0.13533572158250193	0.12338239451640491	0.14538817419165553
WLT-022	0.21610146834720725	0.29294831857193904	0.2551356486785061	0.30654681544521317	0.15711186759667492	0.3289847268854422	0.17505386778526663	0.24207603767981367	0.1417513715404383	0.2583235466584472	0.2273538602242145	0.21862771354575075	0.25096655034242016	0.1681203868052635	0.18603683042011224	0.28255597253911124	0.20989591675724983	0.20171405363450778	0.21310922227091167	0.26498166735832107	0.250904843969583	0.11264952313695004	0.0	0.20826245884224817	0.19587160094801895	0.26830720935805175	0.1805635557716854	0.21218085388889021	0.18355217313809438	0.16613992835054758	0.147219611726135
WLT-023	0.25114755309895526	0.2995519890261176	0.2584448923143654	0.30520498027299797	0.1696486580997457	0.3298978682888995	0.1709533106274846	0.2180943656585284	0.1922239863834312	0.26411344758603966	0.11893729087793978	0.10997542170130457	0.2886063614329868	0.12337685706979626	0.10460293373501146	0.3006632163913487	0.23652865730784087	0.047540604630793126	0.04278920444975801	0.2665144225347864	0.2990851369172738	0.16331348237036653	0.20826245884224817	0.0	0.1970789555597196	0.3106017418821964	0.1835715009653845	0.15244017735794965	0.1186794325331754	0.17038968188622589	0.18175445310792696
WLT-027	0.22196774429668745	0.27159537580996895	0.24895084476430998	0.2912362345111792	0.1982438008898286	0.3044420227102578	0.15844092727930148	0.20641479684274674	0.20367011983220515	0.2496962787048713	0.2139032379853711	0.2062573187741796	0.2628380108252032	0.2178921886552263	0.1701193767233739	0.27949137599214574	0.20968663517191888	0.19573208383927407	0.17435037671256537	0.2596376146608719	0.2689318656192815	0.18485979650105763	0.19587160094801895	0.1970789555597196	0.0	0.27439778175399354	0.21664783763920936	0.1114677021323781	0.13631399694945154	0.2066744198149628	0.1290150322816643
WLT-031	0.26068713776815616	0.3313836960210257	0.23595568061473138	0.26014539785429885	0.24851542788806774	0.33784737325941744	0.23131595684739406	0.22680212770891575	0.24687657474060581	0.23509150917263347	0.32848530118080227	0.30771634043337953	0.24329867254660964	0.26846048979341	0.28045761504065986	0.25558706203188913	0.245227237768158	0.27767940723492757	0.3029597216733825	0.24415616946176166	0.2668672955438025	0.22495894776618125	0.26830720935805175	0.3106017418821964	0.27439778175399354	0.0	0.26488532306748774	0.25230897057243556	0.27144878224603763	0.24297148630007545	0.2951662749660204
WLT-032	0.24480816482019188	0.31289517050165827	0.24654395767048115	0.28278936899838847	0.1857551201781554	0.3503607344468494	0.1791450300653466	0.220994336864926	0.16826423710356148	0.24493103657364315	0.18054956608507408	0.18344334057703193	0.2593572098771903	0.14300061468127157	0.15366765531011217	0.28110342893356444	0.22402555644886424	0.17638446815635386	0.17534454303591102	0.2538528513699613	0.2821677573567869	0.17007539676510972	0.1805635557716854	0.1835715009653845	0.21664783763920936	0.26488532306748774	0.0	0.2073443225443419	0.16254426550214232	0.16035984558936203	0.2347766655718903
WLT-033	0.22228623182055798	0.2578175404779273	0.2161663034920013	0.24881954003465617	0.16832815950145058	0.2888675378095019	0.13937933263413982	0.1626663975578247	0.18965845513994878	0.2175191570918993	0.1874195044643619	0.17866552010399206	0.24757603095358924	0.1795394314307097	0.16236025566482737	0.2601671437448656	0.20127579233396872	0.1403749925202798	0.13241138185509801	0.230420553815817	0.26043609877300267	0.16710354149701528	0.21218085388889021	0.15244017735794965	0.1114677021323781	0.25230897057243556	0.2073443225443419	0.0	0.10973309393767491	0.166237398640891	0.1459707611334356
WLT-034	0.22425302139229242	0.2885387024308921	0.23707208004013855	0.27529521741134155	0.15510996643577898	0.3256833963426178	0.1330430589666874	0.19404203982159654	0.14001037839818298	0.23894266756109908	0.1416683808302387	0.12235984060006698	0.26908862311157306	0.11155897339658154	0.10165844664960558	0.28183049458280557	0.19868481276222408	0.1208147034635272	0.0954008730916664	0.24776973916587158	0.2719417729972874	0.13533572158250193	0.18355217313809438	0.1186794325331754	0.13631399694945154	0.27144878224603763	0.16254426550214232	0.10973309393767491	0.0	0.12140639663063942	0.15302148795485462
WLT-035	0.15967437674617757	0.2918145331111428	0.15494010890952906	0.19384244761233513	0.11736967165704619	0.33145280737016436	0.12359972651415958	0.17587432847302903	0.10852497588882361	0.15434151953900155	0.1863826058921358	0.15758452535284656	0.18756477816907635	0.11561163027476984	0.13011205461605946	0.20206224132950207	0.12230612196505139	0.165233963494699	0.16080567592361295	0.16611962082211187	0.20821746715661033	0.12338239451640491	0.16613992835054758	0.17038968188622589	0.2066744198149628	0.24297148630007545	0.16035984558936203	0.166237398640891	0.12140639663063942	0.0	0.19703990014566308
WLT-036	0.22075394198363527	0.28420784170955204	0.2749469642008355	0.31956724155216826	0.15572700689718796	0.3233554766234159	0.16769321899168863	0.2313589413175098	0.17647658640324101	0.2719058095850415	0.20956374510993125	0.22402296489157747	0.2787577296047379	0.19737170872507617	0.1762980610104028	0.3033219380546592	0.23023941486968402	0.17443578456385664	0.17128730853826368	0.2737079071129458	0.27542091916880035	0.14538817419165553	0.147219611726135	0.18175445310792696	0.1290150322816643	0.2951662749660204	0.2347766655718903	0.1459707611334356	0.15302148795485462	0.19703990014566308	0.0
